,,EP Poll Average,,&#160;,,&#160;,,47.0,,37.5,,Clinton +9.5,,
,,,Washington Post/SM,,,8/9 - 9/1,,2054 RV,,49,,40,,Clinton +9,,
,,,Morning Consult,,,4/15 - 6/15,,RV,,45,,35,,Clinton +10,,
,,,Star Tribune/Mason-Dixon,,,1/18 - 1/20,,800 RV,,43,,38,,Clinton +5,,
,,,KSTP/SurveyUSA,,,10/29 - 11/2,,516 RV,,42,,45,,Trump +3,,
,,,Public Policy Polling (D),,,7/30 - 8/2,,1015 RV,,44,,39,,Clinton +5,,
