"Date","Time","Chennai","Delhi","Hyderabad","Kolkata","Mumbai"
"1/1/2013","1:00 AM",NA,324.4,NA,NA,NA
"1/1/2013","2:00 AM",NA,366.8,NA,NA,NA
"1/1/2013","3:00 AM",NA,290.7,NA,NA,NA
"1/1/2013","4:00 AM",NA,245.4,NA,NA,NA
"1/1/2013","5:00 AM",NA,220.3,NA,NA,NA
"1/1/2013","6:00 AM",NA,180.2,NA,NA,NA
"1/1/2013","7:00 AM",NA,140,NA,NA,NA
"1/1/2013","8:00 AM",NA,125,NA,NA,NA
"1/1/2013","9:00 AM",NA,111,NA,NA,NA
"1/1/2013","10:00 AM",NA,112,NA,NA,NA
"1/1/2013","11:00 AM",NA,129.4,NA,NA,NA
"1/1/2013","12:00 PM",NA,184.1,NA,NA,NA
"1/1/2013","1:00 PM",NA,284.8,NA,NA,NA
"1/1/2013","2:00 PM",NA,372.3,NA,NA,NA
"1/1/2013","3:00 PM",NA,456.7,NA,NA,NA
"1/1/2013","4:00 PM",NA,404.8,NA,NA,NA
"1/1/2013","5:00 PM",NA,328.1,NA,NA,NA
"1/1/2013","6:00 PM",NA,274.4,NA,NA,NA
"1/1/2013","7:00 PM",NA,285,NA,NA,NA
"1/1/2013","8:00 PM",NA,354.9,NA,NA,NA
"1/1/2013","9:00 PM",NA,395.5,NA,NA,NA
"1/1/2013","10:00 PM",NA,392.7,NA,NA,NA
"1/1/2013","11:00 PM",NA,442.1,NA,NA,NA
"01/01/2013","11:59 PM",NA,414.5,NA,NA,NA
"2/1/2013","1:00 AM",NA,391.2,NA,NA,NA
"2/1/2013","2:00 AM",NA,375.1,NA,NA,NA
"2/1/2013","3:00 AM",NA,310,NA,NA,NA
"2/1/2013","4:00 AM",NA,NA,NA,NA,NA
"2/1/2013","5:00 AM",NA,NA,NA,NA,NA
"2/1/2013","6:00 AM",NA,181.9,NA,NA,NA
"2/1/2013","7:00 AM",NA,152.5,NA,NA,NA
"2/1/2013","8:00 AM",NA,130.7,NA,NA,NA
"2/1/2013","9:00 AM",NA,127.8,NA,NA,NA
"2/1/2013","10:00 AM",NA,142.4,NA,NA,NA
"2/1/2013","11:00 AM",NA,190.3,NA,NA,NA
"2/1/2013","12:00 PM",NA,197.1,NA,NA,NA
"2/1/2013","1:00 PM",NA,243.1,NA,NA,NA
"2/1/2013","2:00 PM",NA,271.5,NA,NA,NA
"2/1/2013","3:00 PM",NA,246.1,NA,NA,NA
"2/1/2013","4:00 PM",NA,189.9,NA,NA,NA
"2/1/2013","5:00 PM",NA,162.1,NA,NA,NA
"2/1/2013","6:00 PM",NA,178.4,NA,NA,NA
"2/1/2013","7:00 PM",NA,201.5,NA,NA,NA
"2/1/2013","8:00 PM",NA,253.3,NA,NA,NA
"2/1/2013","9:00 PM",NA,289.7,NA,NA,NA
"2/1/2013","10:00 PM",NA,358,NA,NA,NA
"2/1/2013","11:00 PM",NA,380.7,NA,NA,NA
"02/01/2013","11:59 PM",NA,300,NA,NA,NA
"3/1/2013","1:00 AM",NA,202.4,NA,NA,NA
"3/1/2013","2:00 AM",NA,150.5,NA,NA,NA
"3/1/2013","3:00 AM",NA,130.9,NA,NA,NA
"3/1/2013","4:00 AM",NA,128.8,NA,NA,NA
"3/1/2013","5:00 AM",NA,110.5,NA,NA,NA
"3/1/2013","6:00 AM",NA,92.2,NA,NA,NA
"3/1/2013","7:00 AM",NA,108,NA,NA,NA
"3/1/2013","8:00 AM",NA,93.9,NA,NA,NA
"3/1/2013","9:00 AM",NA,92.8,NA,NA,NA
"3/1/2013","10:00 AM",NA,107.9,NA,NA,NA
"3/1/2013","11:00 AM",NA,163.5,NA,NA,NA
"3/1/2013","12:00 PM",NA,186.9,NA,NA,NA
"3/1/2013","1:00 PM",NA,226.5,NA,NA,NA
"3/1/2013","2:00 PM",NA,233.1,NA,NA,NA
"3/1/2013","3:00 PM",NA,230.9,NA,NA,NA
"3/1/2013","4:00 PM",NA,172.2,NA,NA,NA
"3/1/2013","5:00 PM",NA,163.3,NA,NA,NA
"3/1/2013","6:00 PM",NA,180.1,NA,NA,NA
"3/1/2013","7:00 PM",NA,184.5,NA,NA,NA
"3/1/2013","8:00 PM",NA,235.5,NA,NA,NA
"3/1/2013","9:00 PM",NA,274.4,NA,NA,NA
"3/1/2013","10:00 PM",NA,321.2,NA,NA,NA
"3/1/2013","11:00 PM",NA,307.5,NA,NA,NA
"03/01/2013","11:59 PM",NA,275,NA,NA,NA
"4/1/2013","1:00 AM",NA,303.3,NA,NA,NA
"4/1/2013","2:00 AM",NA,293.5,NA,NA,NA
"4/1/2013","3:00 AM",NA,282.8,NA,NA,NA
"4/1/2013","4:00 AM",NA,217.4,NA,NA,NA
"4/1/2013","5:00 AM",NA,127.8,NA,NA,NA
"4/1/2013","6:00 AM",NA,96.6,NA,NA,NA
"4/1/2013","7:00 AM",NA,91.3,NA,NA,NA
"4/1/2013","8:00 AM",NA,96.3,NA,NA,NA
"4/1/2013","9:00 AM",NA,101.5,NA,NA,NA
"4/1/2013","10:00 AM",NA,111.7,NA,NA,NA
"4/1/2013","11:00 AM",NA,168.6,NA,NA,NA
"4/1/2013","12:00 PM",NA,247.4,NA,NA,NA
"4/1/2013","1:00 PM",NA,309.7,NA,NA,NA
"4/1/2013","2:00 PM",NA,319,NA,NA,NA
"4/1/2013","3:00 PM",NA,NA,NA,NA,NA
"4/1/2013","4:00 PM",NA,NA,NA,NA,NA
"4/1/2013","5:00 PM",NA,NA,NA,NA,NA
"4/1/2013","6:00 PM",NA,NA,NA,NA,NA
"4/1/2013","7:00 PM",NA,NA,NA,NA,NA
"4/1/2013","8:00 PM",NA,NA,NA,NA,NA
"4/1/2013","9:00 PM",NA,NA,NA,NA,NA
