"ISO3V10","Country","EPI_regions","Landlock","NoFor","NoEle","GDPCAP","GDPgroup","POP","EPI","EH","EV","eh.eh","ev.water","eh.water","ev.cc","eh.air","ev.air","ev.forest","ev.fish","ev.ag","ev.bh","ACSATINV","CHMORT","INDOOR","PM25","WATSUPINV","AGSUB","AZE","CO2CAP","CO2GDP","CO2KWH","FORCOVINV","FORGROINV","FORLOSS","FSOC","MPAEEZ","PACOV","POPs","RENEW","SO2CAP","SO2GDP","TCEEZ","WATUSEINV","EPI_trend","EH_trend","EV_trend","EH_EH_trend","EV_Water_trend","EH_Water_trend","EV_CC_trend","EH_Air_trend","EV_Air_trend","EV_Forest_trend","EV_Fish_trend","EV_Ag_trend","EV_BH_trend","ACSATINV_trend","CHMORT_trend","INDOOR_trend","PM25_trend","WATSUPINV_trend","AGSUB_trend","AZE_trend","CO2CAP_trend","CO2GDP_trend","CO2KWH_trend","FORLOSS_trend","FORGROINV_trend","FORCOVINV_trend","FSOC_trend","MPAEEZ_trend","PACOV_trend","POPs_trend","RENEW_trend","SO2CAP_trend","SO2GDP_trend","TCEEZ_trend","WATUSEINV_trend"
"TCA","Turks and Caicos Islands","Latin America and Caribbean",0,1,0,11988.75,"Middle",38354,NA,NA,NA,NA,100,68.05,NA,NA,NA,83.43,72.05,0,55.88,61.18,NA,NA,NA,74.93,NA,NA,NA,NA,NA,100,NA,50.28,100,55.57,99.47,0,NA,NA,NA,44.11,100,NA,NA,NA,NA,0,-25,NA,NA,NA,-8.29,24.92,0,0,0,NA,NA,NA,-50,NA,NA,NA,NA,NA,-24.86,NA,0,50,0,0,0,NA,NA,NA,-0.16,0
"TCD","Chad","Sub-Saharan Africa",1,0,0,1229.056555,"Lower",11227208,NA,14.41,NA,5.8,41.3,6.15,NA,39.9,NA,61.15,NA,68.26,55.41,2.02,5.8,1.85,77.96,10.27,79.67,NA,NA,NA,NA,28.21,55.25,100,NA,NA,55.41,45.45,NA,NA,NA,NA,41.3,NA,5.71,NA,4.06,-29.35,3.57,NA,11.15,NA,-19.42,NA,-28.85,0,1.49,4.06,0.51,21.78,5.65,-43.27,NA,NA,NA,NA,0,-22.37,-35.9,NA,NA,0,0,NA,NA,NA,NA,-29.35
"TGO","Togo","Sub-Saharan Africa",0,0,1,895.2744651,"Lower",6027798,48.66,22.71,59.78,20.34,44.96,9,75.16,41.17,69.96,33.33,40.73,86.36,53.01,2.74,20.34,0.29,82.04,15.25,100,NA,100,72.89,22.49,0,NA,100,36.81,0,66.35,59.09,75.4,82.74,57.18,44.66,44.96,2.31,5.94,-0.66,9.77,-27.52,3.64,9.67,0.58,2.54,-33.33,18.61,15.25,0,0,9.77,0,1.16,7.28,22.88,NA,0,2.06,50,0,NA,-50,0,0,0,0,50,2.64,2.43,37.22,-27.52
"THA","Thailand","East Asia and the Pacific",0,0,0,7672.381107,"Middle",69122234,59.98,71.37,55.09,87.57,18.22,70.03,39.19,40.3,42.94,86.96,34.17,93.94,78.91,65.13,87.57,20.02,60.57,74.93,100,NA,63.98,40.75,8.06,100,100,60.89,66.34,82.24,77.65,81.82,8.86,42.5,43.39,2,18.22,12.06,28.7,-1.55,35.78,-40.89,30.93,-14.84,12.32,40.72,-6.52,-13.14,45.83,0,32.48,35.78,3.74,20.89,29.39,43.74,NA,-50,3.24,6.61,-19.55,0,0,-32.69,0,0,50,3.58,39.43,42.01,6.4,-40.89
"TJK","Tajikistan","Eastern Europe and Central Asia",1,1,0,1940.143912,"Lower",6878637,38.78,40.74,37.94,40.73,19.08,39.74,73.55,41.74,38.04,69.29,NA,0,24.35,57.84,40.73,22.54,60.94,21.63,NA,NA,100,48.84,45.1,100,73.67,34.22,NA,NA,24.35,0,97.97,51.06,25.03,NA,19.08,7.18,20.96,-4.09,23.4,-40.46,25.42,11.6,11.62,-10.02,-15.35,NA,0,0,33.47,23.4,14.94,8.31,17.37,NA,NA,0,29.07,14.31,-32.89,-13.17,0,NA,NA,0,0,-4.78,-22.33,2.28,NA,-40.46
"TKL","Tokelau","East Asia and the Pacific",0,1,0,1228.6,"Lower",1400,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,43.32,0,40.28,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,40.28,41.29,0,NA,NA,NA,86.64,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,-8.24,0,32.26,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-16.49,32.26,0,0,NA,NA,NA,0,NA
"TKM","Turkmenistan","Eastern Europe and Central Asia",1,1,0,7077.828563,"Middle",5041995,31.75,59.92,19.67,43.17,5.35,55.77,14.42,97.57,16.75,100,NA,66.67,17.88,76.2,43.17,100,95.13,35.34,100,NA,26.15,14.66,0.92,100,100,NA,NA,NA,17.88,0,0.02,21.39,12.12,NA,5.35,-2.4,4.39,-7.96,5.71,-47.33,1.64,0.07,4.5,-5.85,0,NA,0,0,0,5.71,13.72,-4.72,3.29,0,NA,-50,50,0.58,NA,0,0,NA,NA,0,0,-0.1,-25.09,13.38,NA,-47.33
"TLS","Timor-Leste","East Asia and the Pacific",0,0,0,832.1789476,"Lower",1124355,NA,46,NA,33.08,43.65,17.86,NA,100,NA,38.78,49.46,0,71.52,14.81,33.08,NA,100,20.91,NA,NA,NA,NA,NA,10.97,NA,94.4,0,80.69,34.82,0,NA,NA,NA,98.92,43.65,NA,24.33,NA,36.24,-28.17,24.83,NA,0,NA,-30.61,0,0,24.34,22.75,36.24,NA,0,26.91,NA,NA,NA,NA,NA,-2.8,NA,-44.51,-50,27.39,12.1,0,NA,NA,NA,50,-28.17
"TON","Tonga","East Asia and the Pacific",0,1,0,4141.63315,"Middle",104058,NA,58.23,NA,68.2,71.04,84.98,NA,11.54,NA,100,43.81,0,81.76,69.96,68.2,11.54,NA,100,NA,NA,NA,NA,NA,100,NA,NA,12.6,81.75,91.94,0,NA,NA,NA,75.02,71.04,NA,10.11,NA,11.55,-14.48,14.41,NA,2.94,NA,0,-23.7,0,0.04,19.16,11.55,2.94,NA,9.67,NA,NA,NA,NA,NA,NA,NA,0,2.61,0.01,28.61,0,NA,NA,NA,-50,-14.48
"TTO","Trinidad and Tobago","Latin America and Caribbean",0,0,0,23079.99981,"Upper",1341465,47.04,67.63,38.22,58.27,32.6,53.99,0.38,100,44.47,59.4,22.75,50.45,69.76,52.39,58.27,100,NA,55.59,27.95,54.14,0,0,2.25,43.06,100,35.15,5.19,72.96,98.71,95.45,0.25,34.43,54.51,40.32,32.6,-0.65,11.12,-10.28,6.55,-33.7,11.19,-18.14,20.2,-2.92,-20.3,-10.38,16.67,0,0,6.55,20.2,NA,22.38,0,0,-50,-1.41,-0.16,-32.43,0,-28.47,-19.48,0,0,50,-0.83,-13.14,7.3,-1.29,-33.7
