"ISO3V10","Country","EPI_regions","Landlock","NoFor","NoEle","GDPCAP","GDPgroup","POP","EPI","EH","EV","eh.eh","ev.water","eh.water","ev.cc","eh.air","ev.air","ev.forest","ev.fish","ev.ag","ev.bh","ACSATINV","CHMORT","INDOOR","PM25","WATSUPINV","AGSUB","AZE","CO2CAP","CO2GDP","CO2KWH","FORCOVINV","FORGROINV","FORLOSS","FSOC","MPAEEZ","PACOV","POPs","RENEW","SO2CAP","SO2GDP","TCEEZ","WATUSEINV","EPI_trend","EH_trend","EV_trend","EH_EH_trend","EV_Water_trend","EH_Water_trend","EV_CC_trend","EH_Air_trend","EV_Air_trend","EV_Forest_trend","EV_Fish_trend","EV_Ag_trend","EV_BH_trend","ACSATINV_trend","CHMORT_trend","INDOOR_trend","PM25_trend","WATSUPINV_trend","AGSUB_trend","AZE_trend","CO2CAP_trend","CO2GDP_trend","CO2KWH_trend","FORLOSS_trend","FORGROINV_trend","FORCOVINV_trend","FSOC_trend","MPAEEZ_trend","PACOV_trend","POPs_trend","RENEW_trend","SO2CAP_trend","SO2GDP_trend","TCEEZ_trend","WATUSEINV_trend"
"ABW","Aruba","Latin America and Caribbean",0,1,0,22072.5,"Upper",107488,NA,NA,NA,78.23,48.16,100,NA,NA,NA,NA,41.16,0,0.09,NA,78.23,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.18,0,NA,NA,NA,82.31,48.16,NA,NA,NA,15.35,-25.92,39.88,NA,NA,NA,NA,2.38,0,0,NA,15.35,NA,NA,39.88,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,4.75,-25.92
"AFG","Afghanistan","South Asia",1,0,0,879.032667,"Lower",34385068.12,NA,15.96,NA,9.35,3.12,9.64,NA,35.49,NA,90.14,NA,0,1.45,9.89,9.35,2.18,68.8,9.4,NA,0,NA,NA,NA,100,100,70.42,NA,NA,2.18,0,NA,NA,NA,NA,3.12,NA,6.3,NA,11.21,-48.44,15.57,NA,-12.78,NA,-4.93,NA,0,0,5.71,11.21,1.43,-26.98,25.42,NA,0,NA,NA,NA,-14.79,0,0,NA,NA,0,0,NA,NA,NA,NA,-48.44
"AGO","Angola","Sub-Saharan Africa",0,0,0,5454.38381,"Middle",19081912,47.57,20.84,59.02,10.27,59.34,14.14,68.9,48.7,72.23,83.39,30.54,66.67,41.2,18,10.27,8.91,88.49,10.27,100,0,100,56.33,18.52,54.44,95.73,100,46.15,26.43,65.59,0,76.05,74.56,69.89,14.94,59.34,15.64,22.77,9.81,22.63,-20.33,17.6,21.91,28.2,47.66,-8.31,19.35,0,0,25.05,22.63,6.41,50,10.15,0,0,0,19.74,50,0,-2.14,-22.78,49.65,0,0,0,50,45.32,50,-10.95,-20.33
"AIA","Anguilla","Latin America and Caribbean",0,1,0,11600.98,"Middle",14766,NA,NA,NA,NA,64.02,NA,NA,NA,NA,100,48.46,66.67,52.27,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,100,NA,100,0,52.29,29.59,0,NA,NA,NA,96.92,64.02,NA,NA,NA,NA,-17.99,NA,NA,NA,NA,0,0,0,0.16,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,0,0,0.15,11.56,0,NA,NA,NA,0,-17.99
"ALB","Albania","Eastern Europe and Central Asia",0,0,0,7667.374419,"Middle",3204284,65.85,82.19,58.85,78.23,23.19,72.28,85.85,100,57.54,58.34,17.4,66.67,61.72,76.2,78.23,NA,100,68.36,100,NA,100,68.84,78.95,61.67,42.93,70.42,11.34,76.58,59.06,0,99.39,56.89,58.19,23.47,23.19,16.8,22.12,12.45,31.74,-38.4,25,26.45,0,12.82,-20.83,8.42,0,40.28,50,31.74,NA,0,0,0,NA,-0.91,48.96,50,-14.79,-28.54,-19.17,0,8.06,46.05,0,14.24,8.46,17.18,16.84,-38.4
"AND","Andorra","Europe",1,0,0,43519.73,"Upper",84864,NA,NA,NA,NA,NA,100,NA,100,NA,100,NA,0,33.71,100,NA,100,NA,100,NA,NA,NA,NA,NA,100,NA,100,NA,NA,33.71,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.77,NA,0,NA,0,NA,0,0.16,50,NA,0,NA,49.54,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0.16,0,NA,NA,NA,NA,NA
"ANT","Netherlands Antilles","Latin America and Caribbean",0,0,0,16200,"Upper",NA,NA,NA,31.31,80.63,42.25,NA,1.8,NA,9.34,91.54,42.41,0,52.99,NA,80.63,NA,NA,NA,NA,NA,0,0,11.99,100,NA,74.61,0,52.61,84.29,0,0,4.2,14.47,84.81,42.25,NA,NA,-3.56,12.03,-28.88,NA,-0.31,NA,20.51,-4.23,-25,0,0,NA,12.03,NA,NA,NA,NA,NA,0,-1.1,0.49,-12.69,NA,0,-50,0,0,0,0,14.89,26.13,0,-28.88
"ARE","United Arab Emirates","Middle East and North Africa",0,1,0,34750.50625,"Upper",7511690,50.91,87.69,35.15,91.43,10.27,84.98,2.78,82.94,32.53,100,28.67,28.24,85.72,69.96,91.43,100,65.87,100,42.36,NA,0,6.27,3.93,100,100,NA,28.56,81.52,86.94,0,0,15.24,49.81,28.78,10.27,9.57,18.75,2.05,50,-44.86,0,2.41,-25,15.02,0,-17.75,0,25.97,0,50,0,-50,0,0,NA,0,2.9,9.27,NA,0,0,-31.21,12.52,29.86,0,0,15.75,14.28,-4.3,-44.86
"ARG","Argentina","Latin America and Caribbean",0,0,0,14362.61581,"Upper",40412376,56.48,80.75,46.09,82.39,24.58,58.2,44.99,100,61.72,50.51,16.55,92.42,43.05,48.04,82.39,100,100,68.36,100,61.92,56.47,53.41,14.36,24.41,100,27.11,33.11,59.37,29.12,77.27,29.18,56.27,67.17,0,24.58,-0.51,12.66,-11.29,10.47,-37.71,4.68,-24.61,25,3.29,-24.75,14.69,0,0.03,-6.59,10.47,50,0,15.95,0,0,-50,14.35,-30.9,-36.44,0,-37.8,32.75,0,0.06,0,-50,0.02,6.57,-3.38,-37.71
"ARM","Armenia","Eastern Europe and Central Asia",1,0,0,4838.931526,"Middle",3092072,47.48,63.81,40.48,76.77,1.09,55.66,61.56,46.03,34.1,45.13,NA,65.08,32.54,48.04,76.77,19.46,72.6,63.27,56.72,3.38,95.94,52.8,27.69,9.69,25.71,100,NA,NA,47.12,81.82,35.67,38.64,29.57,NA,1.09,6.49,25.2,-8.83,33.94,-49.45,18.52,10.22,14.39,-31.84,-27.44,NA,0,7.21,7.47,33.94,12.08,16.71,29.58,0,0,-50,36.35,50,0,-37.15,-45.16,NA,NA,10.81,0,50,-50,-13.68,NA,-49.45
"ASM","American Samoa","East Asia and the Pacific",0,1,0,7752.79999,"Middle",68420,NA,NA,NA,NA,89.69,NA,NA,100,NA,100,46.89,0,98.47,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,100,100,NA,19.22,98.52,1.29,0,NA,NA,NA,74.57,89.69,NA,NA,NA,NA,-5.15,NA,NA,0,NA,0,16.56,0,49.97,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,12.2,50,0,0,NA,NA,NA,20.92,-5.15
"ATG","Antigua and Barbuda","Latin America and Caribbean",0,0,0,14850.85143,"Upper",88710,NA,NA,NA,NA,60.89,54.32,NA,100,NA,86.96,76.26,22.94,51.25,61.18,NA,100,NA,47.45,34.4,NA,NA,NA,NA,100,NA,60.89,100,51.3,38,0,NA,NA,NA,52.53,60.89,NA,NA,NA,NA,-19.55,0,NA,41.73,NA,-6.52,10.85,0,5.14,0,NA,41.73,NA,0,0,NA,NA,NA,NA,-19.55,NA,0,50,5.12,8.67,0,NA,NA,NA,-28.3,-19.55
"AUS","Australia","East Asia and the Pacific",0,0,0,34139.22579,"Upper",22328800,56.61,98.99,38.45,97.99,33.21,100,13.38,100,10.83,27.19,36.7,34.97,85.43,100,97.99,100,100,100,52.45,99.9,3.35,31.61,0.32,30.54,NA,20.5,38.54,100,61.24,0,7.31,0,21.66,34.86,33.21,3.46,9.03,-1.1,18.05,-33.4,0,2.37,0,4.8,-36.4,18.6,2.57,12.63,0,18.05,0,0,0,3.85,0,-4.11,13.07,-0.15,-39.75,NA,-34.73,33.71,15.36,18.31,0,-4.96,0,9.61,3.49,-33.4
"AUT","Austria","Europe",1,0,0,35266.12433,"Upper",8384745,68.92,98.99,56.03,97.99,45.18,100,46.58,100,70.35,79.49,NA,49.77,58,100,97.99,100,100,100,29.2,0,34.53,56.23,27.73,100,71.64,66.83,NA,NA,87,90.91,71.02,57.21,83.5,NA,45.18,4.38,4.22,4.5,2.61,-27.41,0,16.13,11.65,12.25,-10.26,NA,34.04,0.04,0,2.61,0,23.31,0,36.48,0,15.89,14.34,28.98,-16.59,-14.18,0,NA,NA,0.06,29.17,8,14.97,9.52,NA,-27.41
"AZE","Azerbaijan","Eastern Europe and Central Asia",1,0,0,8918.712931,"Middle",9047932,43.11,51.43,39.55,60.43,5.01,21.65,44.33,63.21,28.05,100,NA,31.97,40.18,12.78,60.43,33.2,93.21,30.52,47.95,NA,69.66,47.36,10.2,100,100,100,NA,NA,40.18,0,12.25,32.26,23.84,NA,5.01,17.8,26.6,10.6,50,-47.49,8.77,43.98,-2.38,25.41,0,NA,0,5.94,1.22,50,9.46,-14.21,16.32,0,NA,50,50,44.77,0,0,0,NA,NA,5.94,0,15.12,10.68,40.14,NA,-47.49
"BDI","Burundi","Sub-Saharan Africa",1,0,0,366.4425346,"Lower",8382849,NA,22.16,NA,10.98,51.36,18.16,NA,48.52,NA,39.16,NA,81.82,53.34,13.17,10.98,0.15,96.89,23.16,NA,99.3,NA,NA,NA,18.92,NA,79.65,NA,NA,30.35,81.82,NA,NA,NA,NA,51.36,NA,12.68,NA,12.54,-24.32,0.62,NA,25.02,NA,-30.42,NA,0,0,1.25,12.54,0.04,50,0,NA,0,NA,NA,NA,-10.18,NA,-40.54,NA,NA,0,0,NA,NA,NA,NA,-24.32
"BEL","Belgium","Europe",0,0,0,32824.8309,"Upper",10879159,63.02,97.23,48.36,94.45,27.1,100,30.16,100,53.71,72.25,15.8,45.11,78.49,100,94.45,100,100,100,22.22,NA,26.96,48.52,18.87,100,64.68,52.07,27.87,39.19,81.12,90.91,6.06,39.58,67.84,3.73,27.1,12.36,4.91,18.47,6.23,-36.45,0,34.06,7.16,8.96,-13.87,5.09,28.84,46.87,0,6.23,0,14.32,0,18.26,NA,50,26.31,24.66,-23.96,-17.66,0,10.26,0,50,50,24.32,9.1,8.81,-0.08,-36.45
"BEN","Benin","Sub-Saharan Africa",0,0,1,1423.889327,"Lower",8849892,50.38,21.63,62.7,16.46,50.24,14.19,58.72,39.39,70.48,45.27,35.04,75.46,79.8,2.74,16.46,1.05,77.73,25.65,81.37,NA,100,40.9,3.96,17.9,NA,100,37.28,0,98.88,63.64,0,80.07,60.9,32.8,50.24,-1.37,7.51,-8.63,12.97,-24.88,10.55,-21.76,-6.45,20.44,-27.37,15.17,-19.4,0,2.48,12.97,0.11,-13.01,18.62,-29.1,NA,0,-50,-6.62,0,NA,-41.05,29.39,0,0,0,-15.79,20.23,20.65,0.94,-24.88
"BFA","Burkina Faso","Sub-Saharan Africa",1,1,0,1126.548608,"Lower",16468714,NA,14.86,NA,4.96,28.22,14.52,NA,35.01,NA,72.86,NA,59.08,83.82,2.5,4.96,1.05,68.97,26.54,65.89,NA,NA,NA,NA,18.59,100,100,NA,NA,83.82,45.45,NA,NA,NA,NA,28.22,NA,8.91,NA,10.6,-35.89,16.87,NA,-2.44,NA,-13.57,NA,-33.33,5.44,2.27,10.6,0.16,-5.04,31.46,-50,NA,NA,NA,NA,0,0,-40.7,NA,NA,5.44,0,NA,NA,NA,NA,-35.89
"BGD","Bangladesh","South Asia",0,0,0,1484.995695,"Lower",148692131,42.55,33.9,46.26,49.3,14.2,23.32,60.82,13.66,63.73,81.39,37.03,66.67,23.57,16.12,49.3,1.36,25.96,30.52,100,NA,100,68.06,9.23,58.23,100,85.95,57.08,69.34,10.76,0,4.1,75.59,51.87,16.98,14.2,8.36,23.14,-3.74,50,-42.9,6.55,0.69,-13.97,-0.86,-9.3,-7.88,33.33,0.86,10.42,50,-1.55,-26.39,2.68,50,NA,0,-10.14,37.52,-7.02,0,-20.89,0,2.5,0.4,0,-9.23,-5.22,3.49,-15.75,-42.9
"BGR","Bulgaria","Europe",0,0,0,11486.35823,"Middle",7543325,56.28,92.16,40.9,84.31,14.88,100,29.55,100,0,100,48.04,60.1,57.25,100,84.31,NA,100,100,44.7,NA,45.73,31.46,8.12,100,100,100,9.8,72.93,53.24,90.91,8.77,0,0,86.29,14.88,11.18,16.7,6.66,33.41,-42.56,0,4.22,0,0,0,28.95,-22.92,41.7,0,33.41,NA,0,0,-50,NA,-28.3,40.11,-13.47,0,0,0,7.9,19.34,47.42,31.25,14.02,0,0,50,-42.56
"BHR","Bahrain","Middle East and North Africa",0,1,0,23755.4762,"Upper",1261835,NA,NA,26.54,82.39,0,NA,2.56,100,14.99,NA,21.48,66.67,57.86,NA,82.39,100,NA,NA,100,NA,0,5.93,3.22,NA,NA,NA,42.73,68.82,7.47,0,0,3.8,26.17,0.23,0,NA,NA,5.24,8.8,-50,NA,2.32,0,14.41,NA,-19.12,0,41.07,NA,8.8,0,NA,NA,0,NA,0,5.09,3.58,NA,NA,NA,-30.97,50,0,0,0,11.96,16.85,-7.28,-50
"BHS","Bahamas","Latin America and Caribbean",0,1,0,22769.92232,"Upper",342877,NA,80.75,NA,70.69,62.57,81.64,NA,100,NA,83.43,42.09,0,64.17,100,70.69,100,NA,63.27,NA,NA,NA,NA,NA,100,100,50.28,24.22,63.55,79.59,0,NA,NA,NA,59.96,62.57,NA,9.54,NA,19.09,-18.71,0,NA,0,NA,-8.29,-3.01,0,6.5,0,19.09,0,NA,0,NA,NA,NA,NA,NA,-24.86,0,0,5.79,4.74,50,0,NA,NA,NA,-11.8,-18.71
"BIH","Bosnia and Herzegovina","Eastern Europe and Central Asia",0,0,0,7330.625428,"Middle",3760149,36.76,69.66,22.67,75.41,47.27,72.68,34.24,55.16,6.74,72.96,6.64,0,2.88,61.18,75.41,10.31,100,84.18,NA,NA,49.12,30.8,1.99,100,18.88,100,13.29,75.14,2.88,0,39.82,9.77,3.71,0,47.27,-4.69,2.45,-10.53,-6.56,-26.37,22.77,-23.88,0.15,-2.63,-13.52,0,0,0.75,0,-6.56,0.3,0,45.53,NA,NA,-50,1.85,3.15,0,-40.56,0,0,0,0.75,0,-50,-9.19,3.92,0,-26.37
"BLR","Belarus","Eastern Europe and Central Asia",1,0,0,12813.54688,"Middle",9490500,53.88,84.65,40.7,79,40.37,80.59,26.46,100,39.09,93.22,NA,28.46,42.47,61.18,79,100,100,100,42.7,NA,41.28,26.99,16.74,100,100,79.65,NA,NA,42.47,0,0.35,36.76,41.41,NA,40.37,6.93,16.44,-0.85,20.37,-29.82,0,4.83,25,16.18,-3.39,NA,0,0,0,20.37,50,0,0,0,NA,-32.34,50,-10.02,-10.18,0,0,NA,NA,0,0,1.02,7.39,24.98,NA,-29.82
"BLZ","Belize","Latin America and Caribbean",0,0,0,5934.152531,"Middle",344700,NA,65.99,NA,66.84,72.94,66.11,NA,64.18,NA,62.17,24.02,31.83,97.32,48.04,66.84,28.37,100,84.18,47.75,NA,NA,NA,NA,28.14,100,58.38,9.8,95.35,98.88,0,NA,NA,NA,38.24,72.94,NA,21.54,NA,19.45,-13.53,46.48,NA,0.76,NA,-18.91,-2.54,0,3.67,42.96,19.45,1.52,0,50,0,NA,NA,NA,NA,-20.81,0,-35.93,1.66,0.5,6.18,0,NA,NA,NA,-6.74,-13.53
"BMU","Bermuda","North America",0,1,0,70773.75,"Upper",64600,NA,NA,NA,NA,NA,NA,NA,100,NA,83.43,53.07,0,52.59,NA,NA,100,NA,NA,NA,75.1,NA,NA,NA,100,NA,50.28,12.6,45.08,100,0,NA,NA,NA,93.54,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,-8.29,-1.14,0,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,-24.86,NA,0,4.71,0,0,0,NA,NA,NA,-6.98,NA
"BOL","Bolivia","Latin America and Caribbean",1,0,0,4352.61167,"Middle",9929849,54.57,41.51,60.17,42.47,45.39,22.18,54.7,58.94,56.26,45.24,NA,34.81,88.41,6.16,42.47,17.88,100,38.2,52.21,92.77,97.96,37.4,10.27,33.67,61.65,40.39,NA,NA,86.24,0,38.57,59.67,52.86,NA,45.39,-1.76,11.61,-12.7,16.09,-27.3,12.89,-23.36,1.37,-3.38,-27.38,NA,0,1.27,2.01,16.09,2.74,0,23.78,0,0,-22.37,-18.45,-10.46,-29.8,-19.18,-33.16,NA,NA,1.9,0,-50,-5.51,-1.24,NA,-27.3
"BRA","Brazil","Latin America and Caribbean",0,0,0,10055.89161,"Middle",194946470,60.9,62.07,60.4,63.96,44.87,51.2,71.64,69.15,46.08,56.37,28.49,58.29,76.76,34.03,63.96,38.3,100,68.36,44.26,61.08,87.61,60.64,42.67,39.09,100,30.02,39.79,80.17,82.71,86.36,89.04,43.31,48.84,17.19,44.87,10.64,22.53,0.91,27.92,-27.56,30.91,6.69,3.39,13.59,-21.82,-14.45,-6.75,18.29,16.28,27.92,6.78,0,45.53,-10.13,50,-13,13.78,36.56,-34.99,0,-30.46,-27.13,1.82,10.07,0,6.2,12.82,14.35,-1.77,-27.56
"BRB","Barbados","Latin America and Caribbean",0,1,0,17564.36616,"Upper",273331,NA,90.75,NA,81.49,33.7,100,NA,100,NA,100,50,81.82,13.61,100,81.49,100,NA,100,NA,NA,NA,NA,NA,100,NA,100,0,13.64,0.53,81.82,NA,NA,NA,100,33.7,NA,4.39,NA,8.79,-33.15,0,NA,0,NA,0,-0.58,0,0,0,8.79,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,-11.76,0,0,0,NA,NA,NA,10.6,-33.15
"BRN","Brunei Darussalam","East Asia and the Pacific",0,0,0,45155.60531,"Upper",398920,62.49,77.76,55.94,86.43,99.64,38.19,5.17,100,37.06,66.73,67.63,44.25,90.7,33.29,86.43,100,NA,43.08,27.74,NA,0,13.7,2.48,36.52,100,63.68,NA,81.4,100,77.27,0,19.74,54.38,67.63,99.64,-1.3,12.29,-12.42,11.98,-0.18,25.2,-32.53,0,-17.07,-16.63,-8.98,0,0,28.49,11.98,0,NA,21.9,0,NA,-50,-49.53,15.39,-18.16,0,-31.74,NA,0,0,0,0,-19.24,-14.9,-8.98,-0.18
"BTN","Bhutan","South Asia",1,0,0,4780.12001,"Middle",725940,NA,42.94,NA,39.61,63.33,36.11,NA,56.44,NA,100,NA,0,91.41,22.35,39.61,12.88,100,49.86,NA,84.12,NA,NA,NA,100,100,100,NA,NA,95.06,0,NA,NA,NA,NA,63.33,NA,23.63,NA,42.03,-18.33,6.76,NA,3.7,NA,0,NA,0,0,5.99,42.03,7.4,0,7.53,NA,0,NA,NA,NA,0,0,0,NA,NA,0,0,NA,NA,NA,NA,-18.33
"BWA","Botswana","Sub-Saharan Africa",1,0,0,12459.20778,"Middle",2006945,53.74,45.69,57.18,43.76,37.76,39.32,48.53,55.93,17.48,73,NA,27.58,100,19.53,43.76,11.86,100,59.11,41.37,NA,80.18,58.49,0,18.99,100,100,NA,NA,100,0,0,14.09,20.87,NA,37.76,10.91,28.24,-3.27,50,-31.12,12.57,9.41,0.39,-2.69,-13.5,NA,0,0,16.26,50,0.78,0,8.87,0,NA,10.73,16.16,0,0,0,-40.5,NA,NA,0,0,0,-7.98,2.61,NA,-31.12
"CAF","Central African Republic","Sub-Saharan Africa",1,0,0,707.6358846,"Lower",4401051,NA,20.62,NA,9.97,80.75,14.21,NA,48.35,NA,88.36,NA,59.09,97.06,8.89,9.97,0.15,96.55,19.53,NA,NA,NA,NA,NA,65.09,100,100,NA,NA,97.06,59.09,NA,NA,NA,NA,80.75,NA,13.77,NA,13.48,-9.63,9.89,NA,18.23,NA,-5.82,NA,0,0,12.59,13.48,0,36.45,7.2,NA,NA,NA,NA,NA,0,0,-17.46,NA,NA,0,0,NA,NA,NA,NA,-9.63
"CAN","Canada","North America",0,0,0,35243.32728,"Upper",34108752,58.41,100,40.59,100,41.66,100,27.81,100,22.43,80.53,18.41,47.82,53.59,100,100,100,100,100,24.01,59.15,8.67,34.51,22.43,100,100,41.59,20.11,74.91,44.53,95.45,62.21,8.73,36.12,16.72,41.66,6.41,7.09,5.86,14.18,-29.17,0,22.83,0,11.78,-9.74,-1.84,4.11,11.8,0,14.18,0,0,0,6.17,0.03,30.3,16.26,32.55,-29.21,0,0,-3.67,7.81,18.19,0,10.99,10.91,12.64,-0.02,-29.17
"CHE","Switzerland","Europe",1,0,0,37441.02247,"Upper",7825243,76.69,93.22,69.61,86.43,50.76,100,58.21,100,72.57,78.51,NA,33.42,98.06,100,86.43,100,100,100,2.41,NA,46.57,66.6,68.43,100,41.13,94.4,NA,NA,98.06,95.45,55.56,59.32,85.82,NA,50.76,2.42,4.76,0.51,9.53,-24.62,0,10.88,0,0.63,-10.75,NA,3.57,5.37,0,9.53,0,0,0,5.36,NA,18.81,11.44,11.29,-2.8,-29.44,0,NA,NA,5.37,0,-9.33,0.02,1.24,NA,-24.62
"CHL","Chile","Latin America and Caribbean",0,0,0,13595.89975,"Middle",17113688,55.34,84.84,42.7,87.57,16.98,64.2,46.3,100,9.88,79.75,17.96,64.41,57.05,65.13,87.57,100,100,63.27,48.88,35.13,59.21,47.26,11.4,100,100,39.25,23.11,65.37,59.88,95.45,48.83,6.62,13.15,12.81,16.98,-1.18,13.72,-13.37,12.45,-41.51,29.98,-25.22,0,-11.71,-10.12,-31.54,35.29,0.47,40.61,12.45,0,0,19.36,27.93,0,-50,6.07,-44.54,-30.37,0,0,-20.66,0.77,0,50,-21.08,-17.46,-5.96,-42.42,-41.51
"CHN","China","East Asia and the Pacific",0,0,0,6810.087315,"Middle",1338299512,42.24,46.33,40.49,67.74,12.16,30.17,31.03,19.7,18.16,93.22,16.07,41.13,65.65,17.04,67.74,10.61,28.78,43.29,38.97,68.32,48.67,31.66,1.95,100,100,79.65,32.14,71.85,64.35,45.45,17.46,23.99,12.33,0,12.16,1.05,14.28,-9.76,18.69,-43.92,22.25,-16.95,-2.51,-13.28,-3.39,8.36,-3.75,6.09,9.18,18.69,1.7,-6.72,35.31,-5.63,3.31,-50,2.06,0.41,-10.18,0,0,16.72,1.08,7.35,0,-1.57,-26.64,0.09,0,-43.92
"CIV","Côte d'Ivoire","Sub-Saharan Africa",0,0,0,1703.612216,"Lower",19737800,53.55,25.53,65.56,19.38,42.01,18.06,62.99,45.28,71.05,91.61,27.82,66.67,80.67,5.6,19.38,2.18,88.39,30.52,100,96.46,100,59.74,9.22,100,74.82,100,10.12,26.71,100,0,37.97,79.06,63.05,45.53,42.01,6.86,11.81,2.81,18.5,-28.99,3.38,0.3,6.88,50,-4.2,5.49,0,0,0.88,18.5,0.23,13.52,5.88,0,0,0,4.68,-12.03,0,-12.59,0,-14.24,0,0,0,3.1,50,50,25.22,-28.99
"CMR","Cameroon","Sub-Saharan Africa",0,0,0,2046.127492,"Lower",19598889,42.97,19.85,52.87,13.3,40.34,19.18,75.51,33.62,57.7,72.58,21.85,37.09,43.12,13.57,13.3,3.12,64.11,24.79,55.63,10.28,100,72.51,30.8,17.74,100,100,43.7,63.44,53.94,0,70.11,66.22,49.18,0,40.34,-0.01,11.78,-9.66,6.29,-29.83,9.8,-22.63,24.72,50,-13.71,-37.29,-33.33,2.01,0,6.29,0.54,48.91,19.6,-50,0,0,-21.8,-50,0,0,-41.13,-50,0,2.72,0,-50,50,50,-24.58,-29.83
"COD","Dem. Rep. Congo","Sub-Saharan Africa",0,0,1,311.4698228,"Lower",65965795,47.49,12.31,62.57,6.55,75.49,7.07,91.65,29.07,67.75,85.22,17.95,4.55,51.08,5.6,6.55,0.74,57.41,8.55,NA,27.33,100,87.01,82.99,55.67,100,100,NA,89.65,59,4.55,99.55,88.38,47.13,17.95,75.49,3.01,11.71,-4.11,9.52,-12.25,4.44,-11.9,23.37,7.18,-7.39,1.34,0,0,6.57,9.52,0.56,46.18,2.31,NA,0,0,-11.52,-40.58,0,0,-22.16,NA,0,0,0,-2.3,3.9,10.46,1.34,-12.25
"COG","Congo","Sub-Saharan Africa",0,0,1,3808.093879,"Middle",4042899,47.18,21.2,58.32,20.78,62.91,15.01,64.44,28.22,27,95.02,34.18,66.67,58.58,7.64,20.78,2.53,53.91,22.38,100,NA,100,48.56,18.53,85.05,100,100,57.08,87.82,55.41,0,63.95,33.84,20.16,11.28,62.91,1.14,5.6,-2.51,7.78,-18.55,0.94,-29.41,5.89,50,-2.49,-12.37,0,8.62,0,7.78,0.01,11.78,1.89,0,NA,0,-50,-50,0,0,-7.47,5.69,0,9.55,0,-50,50,50,-30.43,-18.55
"COK","Cook Islands","East Asia and the Pacific",0,1,0,9100,"Middle",11488,NA,NA,NA,NA,NA,77.8,NA,100,NA,100,51.92,0,8.36,100,NA,100,NA,55.59,NA,NA,NA,NA,NA,100,NA,NA,3.84,8.36,5.59,0,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,35.26,NA,50,NA,0,5.01,0,0,50,NA,50,NA,20.52,NA,NA,NA,NA,NA,NA,NA,0,10.03,0,0,0,NA,NA,NA,0,NA
"COL","Colombia","Latin America and Caribbean",0,0,0,8487.597261,"Middle",46294841,62.33,55.55,65.23,59.16,53.42,39.22,72.75,64.67,61.1,62.24,30.31,46.94,84.43,28.59,59.16,29.34,100,49.86,24.95,58.89,97.39,69.62,22.43,59.95,NA,66.83,13.01,99.12,89.06,90.91,72.84,58.81,63.38,47.6,53.42,8.25,9.8,6.98,15.81,-23.29,5.5,22.18,2.06,13.81,-18.88,12.99,8.95,9.45,4.94,15.81,4.12,0,6.06,8.22,3.62,27.59,30.92,8.36,-16.59,NA,-20.02,-10.07,29.48,0,10.42,2.97,12.79,14.84,36.05,-23.29
"COM","Comoros","Sub-Saharan Africa",0,0,0,983.8008284,"Lower",734750,NA,24.5,NA,29.86,73.95,34.33,NA,3.97,NA,33.33,68.71,66.67,0,9.55,29.86,3.97,NA,59.11,100,0,NA,NA,NA,0,0,100,41.51,0,0,0,NA,NA,NA,95.92,73.95,NA,12.24,NA,16.88,-13.02,15.8,NA,-0.6,NA,-33.33,-21.06,0,0,8.28,16.88,-0.6,NA,23.33,0,0,NA,NA,NA,0,-50,-50,-36.33,0,0,0,NA,NA,NA,-5.79,-13.02
"CPV","Cape Verde","Sub-Saharan Africa",0,1,0,3573.459791,"Middle",495999,NA,46.05,NA,71.78,17.19,25.96,NA,14.68,NA,100,40.21,0,0.06,16.58,71.78,14.68,NA,35.34,NA,0,NA,NA,NA,100,100,NA,20.42,0,14.65,0,NA,NA,NA,60,17.19,NA,26.65,NA,49.87,-41.41,8.04,NA,-1.2,NA,0,-15.63,0,0,12.8,49.87,-1.2,NA,3.29,NA,0,NA,NA,NA,NA,0,0,-30.4,0,0,0,NA,NA,NA,-0.86,-41.41
"CRI","Costa Rica","Latin America and Caribbean",0,0,0,10258.58166,"Middle",4658887,69.03,76.19,65.96,87.57,51.06,64.77,79.02,64.86,60.18,95.32,22.84,50.78,72.88,61.18,87.57,29.72,100,68.36,39.8,64.25,96.24,71.17,40.98,100,100,85.95,6.78,74.02,94.18,72.73,95.15,56.2,64.15,38.89,51.06,-0.52,9.08,-8.37,11.49,-24.47,13.22,-26.43,0.12,20.69,-2.34,-13.4,0,0.09,0,11.49,0.24,0,26.44,0,0,-48.35,5.72,-50,-7.02,0,0,-22.7,0,1.43,0,-26.73,20.25,21.12,-4.11,-24.47
