Group Report - Group PM25,,,,,,
,,,,,,
Date,Time,US Consulate-Chennai,US Consulate-Kolkata,US Consulate-Hyderabad,US Consulate-Mumbai,US Embassy-New Delhi
,,PM2.5_Chennai,PM2.5_Kolkata,PM2.5_HYD,PM2.5_Mum,PM2.5_Delhi
,,µg/m3,µg/m3,µg/m3,µg/m3,µg/m3
25/06/2016,12:00 PM,240,27,24,InVld,60
25/06/2016,1:00 PM,267,25,17,InVld,61
25/06/2016,2:00 PM,42,21,23,InVld,54
25/06/2016,3:00 PM,49,25,16,InVld,46
25/06/2016,4:00 PM,70,23,19,InVld,45
25/06/2016,5:00 PM,51,27,19,InVld,50
25/06/2016,6:00 PM,51,19,19,InVld,49
25/06/2016,7:00 PM,79,24,23,InVld,49
25/06/2016,8:00 PM,51,24,23,InVld,39
25/06/2016,9:00 PM,58,20,34,InVld,42
25/06/2016,10:00 PM,47,23,27,InVld,44
25/06/2016,11:00 PM,43,20,19,InVld,45
25/06/2016 24:00 AM,,284,20,20,InVld,40
26/06/2016,1:00 AM,-15,15,21,InVld,46
26/06/2016,2:00 AM,-5,23,21,InVld,50
26/06/2016,3:00 AM,18,16,23,InVld,55
26/06/2016,4:00 AM,4,10,24,InVld,52
26/06/2016,5:00 AM,18,15,16,InVld,56
26/06/2016,6:00 AM,19,15,21,InVld,79
26/06/2016,7:00 AM,10,19,13,InVld,57
26/06/2016,8:00 AM,38,15,21,InVld,57
26/06/2016,9:00 AM,48,14,18,InVld,60
26/06/2016,10:00 AM,34,14,24,InVld,64
26/06/2016,11:00 AM,12,23,31,InVld,63
26/06/2016,12:00 PM,41,23,29,InVld,51
26/06/2016,1:00 PM,45,18,29,InVld,57
26/06/2016,2:00 PM,35,15,28,InVld,53
26/06/2016,3:00 PM,-15,15,23,InVld,49
26/06/2016,4:00 PM,-15,17,23,InVld,56
26/06/2016,5:00 PM,220,16,23,InVld,57
26/06/2016,6:00 PM,-15,25,26,InVld,53
26/06/2016,7:00 PM,-15,19,33,InVld,57
26/06/2016,8:00 PM,-15,23,27,InVld,55
26/06/2016,9:00 PM,241,20,37,InVld,51
26/06/2016,10:00 PM,37,23,31,InVld,52
26/06/2016,11:00 PM,35,14,28,InVld,52
26/06/2016 24:00 AM,,36,19,29,InVld,52
27/06/2016,1:00 AM,25,22,21,InVld,60
27/06/2016,2:00 AM,25,15,19,InVld,74
27/06/2016,3:00 AM,25,8,18,InVld,74
27/06/2016,4:00 AM,22,15,9,InVld,67
27/06/2016,5:00 AM,29,17,13,InVld,64
27/06/2016,6:00 AM,31,17,18,InVld,67
27/06/2016,7:00 AM,47,17,18,InVld,51
27/06/2016,8:00 AM,56,19,25,InVld,61
27/06/2016,9:00 AM,58,20,23,InVld,52
27/06/2016,10:00 AM,48,---,24,-13,59
27/06/2016,11:00 AM,39,19,25,14,57
27/06/2016,12:00 PM,47,InVld,21,7,59
27/06/2016,1:00 PM,46,24,30,13,56
27/06/2016,2:00 PM,39,17,29,2,58
27/06/2016,3:00 PM,38,27,27,6,54
27/06/2016,4:00 PM,43,19,22,13,50
27/06/2016,5:00 PM,44,20,22,13,50
27/06/2016,6:00 PM,44,21,27,8,66
27/06/2016,7:00 PM,39,29,19,15,56
27/06/2016,8:00 PM,35,33,19,22,55
27/06/2016,9:00 PM,30,34,31,24,52
27/06/2016,10:00 PM,38,36,21,15,54
27/06/2016,11:00 PM,18,26,20,23,56
27/06/2016 24:00 AM,,28,15,14,13,52
28/06/2016,1:00 AM,19,14,20,9,16
28/06/2016,2:00 AM,24,20,10,13,17
28/06/2016,3:00 AM,23,14,14,10,26
28/06/2016,4:00 AM,27,14,20,10,33
28/06/2016,5:00 AM,31,15,21,14,45
28/06/2016,6:00 AM,31,18,27,7,26
28/06/2016,7:00 AM,38,20,36,6,27
28/06/2016,8:00 AM,46,26,37,6,39
28/06/2016,9:00 AM,50,26,43,6,59
28/06/2016,10:00 AM,47,23,43,12,49
28/06/2016,11:00 AM,36,28,48,14,51
28/06/2016,12:00 PM,37,27,41,12,55
28/06/2016,1:00 PM,39,27,35,8,76
28/06/2016,2:00 PM,41,30,38,6,78
28/06/2016,3:00 PM,28,28,41,3,55
28/06/2016,4:00 PM,39,33,39,1,41
28/06/2016,5:00 PM,46,23,34,3,37
28/06/2016,6:00 PM,48,29,InVld,7,47
28/06/2016,7:00 PM,51,26,55,17,35
28/06/2016,8:00 PM,32,20,30,30,41
28/06/2016,9:00 PM,24,26,24,6,46
28/06/2016,10:00 PM,34,15,26,15,51
28/06/2016,11:00 PM,35,19,32,24,41
28/06/2016 24:00 AM,,46,10,23,7,44
29/06/2016,1:00 AM,31,18,15,5,50
29/06/2016,2:00 AM,28,13,18,4,50
29/06/2016,3:00 AM,39,20,14,7,33
29/06/2016,4:00 AM,28,17,15,18,15
29/06/2016,5:00 AM,16,18,13,16,7
29/06/2016,6:00 AM,18,27,12,14,10
29/06/2016,7:00 AM,26,21,18,12,11
29/06/2016,8:00 AM,37,24,21,10,18
29/06/2016,9:00 AM,40,19,18,7,35
29/06/2016,10:00 AM,32,17,17,13,46
29/06/2016,11:00 AM,38,16,26,19,32
29/06/2016,12:00 PM,37,31,23,28,31
29/06/2016,1:00 PM,39,23,27,17,32
29/06/2016,2:00 PM,37,24,28,4,28
29/06/2016,3:00 PM,45,28,22,17,29
29/06/2016,4:00 PM,35,30,29,6,26
29/06/2016,5:00 PM,41,28,27,16,25
29/06/2016,6:00 PM,46,21,30,14,29
29/06/2016,7:00 PM,45,22,48,---,30
29/06/2016,8:00 PM,44,24,25,20,38
29/06/2016,9:00 PM,39,28,25,19,41
29/06/2016,10:00 PM,52,18,20,17,38
29/06/2016,11:00 PM,33,21,19,6,45
29/06/2016 24:00 AM,,27,15,14,7,47
30/06/2016,1:00 AM,36,14,14,12,44
30/06/2016,2:00 AM,18,10,9,6,36
30/06/2016,3:00 AM,19,14,12,12,26
30/06/2016,4:00 AM,15,18,25,11,31
30/06/2016,5:00 AM,22,19,9,20,27
30/06/2016,6:00 AM,28,21,10,23,34
30/06/2016,7:00 AM,26,18,19,14,30
30/06/2016,8:00 AM,37,25,---,26,38
30/06/2016,9:00 AM,34,20,20,9,46
30/06/2016,10:00 AM,48,20,21,21,36
30/06/2016,11:00 AM,42,22,26,8,30
30/06/2016,12:00 PM,31,22,35,---,23
30/06/2016,1:00 PM,32,24,26,13,29
30/06/2016,2:00 PM,28,24,27,17,32
30/06/2016,3:00 PM,35,29,25,17,46
30/06/2016,4:00 PM,51,24,27,15,39
30/06/2016,5:00 PM,49,19,34,15,41
30/06/2016,6:00 PM,34,30,25,22,42
30/06/2016,7:00 PM,35,24,-15,15,41
30/06/2016,8:00 PM,43,18,InVld,10,45
30/06/2016,9:00 PM,27,25,InVld,10,39
30/06/2016,10:00 PM,33,29,InVld,14,45
30/06/2016,11:00 PM,32,15,InVld,12,44
30/06/2016 24:00 AM,,28,17,InVld,12,39
