"pointspread" "score1" "score2" "scorediff" "loc"
-8.5 74 62 -12 "H"
-10.5 75 66 -9 "H1"
11 60 73 13 "V"
2.5 67 49 -18 "V"
-9.5 86 62 -24 "H"
-10.5 87 54 -33 "V"
-13 58 50 -8 "H"
-4 50 74 24 "V"
-3 71 78 7 "V"
-9 68 63 -5 "N1"
-3.5 56 58 2 "N"
-11.5 61 50 -11 "H"
3.5 59 79 20 "N"
7.5 55 51 -4 "N"
6.5 63 73 10 "N"
4.5 49 50 1 "V"
-9 72 78 6 "H2"
-1 76 80 4 "H"
-15.5 64 50 -14 "H"
-9.5 81 62 -19 "H"
13 79 81 2 "VN"
4 78 72 -6 "H"
1.5 68 63 -5 "H"
3 74 71 -3 "V"
11.5 80 88 8 "V2"
10 53 75 22 "H"
4 61 73 12 "V"
7 61 63 2 "H"
4.5 49 57 8 "V"
15.5 77 91 14 "V"
3.5 49 37 -12 "H"
17 62 72 10 "V"
3 75 83 8 "H"
17 52 83 31 "H"
-1 56 65 9 "H"
12.5 55 88 33 "V"
11.5 43 61 18 "V"
1.5 55 62 7 "H"
5 75 82 7 "H"
-2 71 74 3 "V1"
5.5 62 71 9 "N"
-6.5 66 61 -5 "H"
-2.5 48 68 20 "H"
27.5 53 101 48 "V"
2 63 69 6 "H"
16.5 53 67 14 "V"
-7 62 51 -11 "H"
2.5 80 73 -7 "V"
15 56 66 10 "V"
-9 68 77 9 "H"
4 60 58 -2 "V"
4 47 61 14 "H"
19 64 71 7 "V"
5.5 57 71 14 "V"
1 63 66 3 "H"
6.5 82 62 -20 "V"
-1.5 78 85 7 "H"
5.5 59 70 11 "V"
10 42 69 27 "H"
5 65 62 -3 "H"
2 56 52 -4 "V"
-3 50 56 6 "H"
5 85 82 -3 "V"
-4 95 90 -5 "H"
6.5 86 72 -14 "V"
9.5 89 85 -4 "V"
-10.5 53 51 -2 "H"
3 61 76 15 "N"
-12.5 84 74 -10 "N"
-5.5 58 60 2 "N"
-6.5 97 78 -19 "N"
-17 59 63 4 "H"
7 64 55 -9 "V"
-10.5 70 74 4 "H"
-7 79 64 -15 "H"
9.5 87 94 7 "V"
-10.5 86 79 -7 "H"
-10.5 82 48 -34 "V"
-18.5 51 40 -11 "H"
10.5 44 61 17 "V"
-4.5 64 54 -10 "H"
-12.5 82 56 -26 "V"
-6.5 71 74 3 "H"
4.5 71 79 8 "V"
6.5 67 69 2 "V1"
-17 75 48 -27 "H"
-8 80 60 -20 "H"
4.5 61 81 20 "V"
-4.5 82 87 5 "H"
4 76 90 14 "V"
-1 65 62 -3 "V"
-2.5 61 64 3 "H"
-1.5 70 79 9 "V"
4 81 58 -23 "H"
2.5 72 74 2 "N"
-12.5 112 66 -46 "H"
-8.5 89 86 -3 "H"
-3.5 76 70 -6 "N"
2.5 74 54 -20 "N"
-8.5 88 80 -8 "H"
-12.5 63 57 -6 "H"
15.5 70 74 4 "V"
-9.5 72 56 -16 "H"
13.5 83 70 -13 "V"
-8 87 64 -23 "V"
-6 55 76 21 "V"
-5.5 89 70 -19 "H"
-13 78 68 -10 "H"
-4 64 46 -18 "V"
4 63 61 -2 "V"
-1.5 74 79 5 "H1"
-2 80 91 11 "V"
-11 74 67 -7 "H"
-1.5 59 75 16 "V"
9.5 57 77 20 "V"
3 77 72 -5 "H"
9 62 63 1 "V"
-6 68 61 -7 "H"
8.5 50 60 10 "V"
-7 77 65 -12 "H"
-1.5 72 63 -9 "V"
-8.5 73 47 -26 "H"
-1 78 65 -13 "H"
8 64 68 4 "V"
-2 69 65 -4 "H"
4 67 73 6 "N"
-1.5 71 80 9 "N"
-14 84 70 -14 "H"
12.5 74 84 10 "N"
4 71 87 16 "N"
3.5 67 71 4 "V"
-4.5 50 49 -1 "H"
1.5 73 61 -12 "V"
-4 63 79 16 "H"
3 71 68 -3 "H"
-12 79 58 -21 "H"
7.5 73 78 5 "H"
3.5 86 75 -11 "V"
2.5 72 75 3 "V"
6.5 59 60 1 "H"
8.5 59 64 5 "V"
9 51 65 14 "V"
4.5 70 82 12 "H"
-1 75 68 -7 "H"
13.5 50 72 22 "V"
11.5 61 62 1 "H"
-5.5 66 63 -3 "H"
6 66 69 3 "V"
1 69 58 -11 "H"
16.5 68 89 21 "V"
9.5 64 82 18 "V"
4 53 52 -1 "H"
4.5 68 61 -7 "V"
-4.5 74 72 -2 "H"
1.5 84 64 -20 "N"
9 58 69 11 "N"
2.5 73 79 6 "N1"
-6 66 80 14 "N"
7.5 60 71 11 "V"
-7.5 68 54 -14 "N"
