"pointspread" "score1" "score2" "scorediff" "loc"
-10 77 61 -16 "H"
-1.5 74 64 -10 "V"
-20.5 71 54 -17 "H"
-14.5 87 70 -17 "H"
-1.5 79 72 -7 "V"
-14.5 79 66 -13 "H"
-17 91 61 -30 "H"
-14 74 52 -22 "V"
-11.5 79 68 -11 "H"
2.5 64 67 3 "V"
-10 69 74 5 "V"
-10.5 81 51 -30 "V"
-19 91 77 -14 "H"
-17.5 75 58 -17 "H"
-5 57 76 19 "V"
-9 72 75 3 "H"
-2 54 61 7 "V"
-4.5 71 68 -3 "V"
-14.5 59 45 -14 "H"
5.5 66 74 8 "V"
-6.5 80 62 -18 "V"
-5.5 91 79 -12 "H"
-11.5 65 53 -12 "N"
-8.5 64 43 -21 "N"
-2 68 65 -3 "N"
-3 67 63 -4 "N"
5.5 50 66 16 "N"
-2.5 66 70 4 "H"
11 49 71 22 "V"
16 42 61 19 "V"
12 58 79 21 "V"
10.5 65 75 10 "H"
16 77 82 5 "V1"
-1.5 50 62 12 "H"
2.5 71 62 -9 "H"
13 60 57 -3 "V"
7.5 56 79 23 "V"
10 55 73 18 "H"
1 57 67 10 "H"
11.5 67 78 11 "V"
7.5 50 59 9 "V"
7.5 69 64 -5 "V"
17 63 68 5 "V"
-2.5 76 62 -14 "H"
4 64 58 -6 "H"
-7 74 61 -13 "H"
2 57 67 10 "N"
-4 87 71 -16 "N"
-6.5 73 63 -10 "N"
-9.5 66 58 -8 "H"
-12.5 61 62 1 "H"
-20.5 60 43 -17 "H"
8.5 81 76 -5 "V"
-13.5 83 61 -22 "H"
-17 81 56 -25 "H"
-4 73 74 1 "H"
-5 77 68 -9 "H"
3 61 63 2 "V1"
-10 78 71 -7 "H"
11 62 74 12 "V"
1 73 79 6 "H"
5.5 70 72 2 "V"
-16 96 51 -45 "H"
-16 72 56 -16 "H"
2.5 61 66 5 "V"
7.5 52 81 29 "V"
-4 60 54 -6 "H"
-3.5 71 72 1 "H"
-4 72 75 3 "V"
-4.5 70 59 -11 "H"
4 66 76 10 "V"
1 88 67 -21 "V"
-5.5 78 74 -4 "H"
-7.5 75 63 -12 "H"
2 80 81 1 "V1"
4 67 73 6 "N"
7 66 73 7 "V"
-9 84 69 -15 "N"
6 59 53 -6 "V"
8 63 66 3 "N"
9 59 85 26 "N"
11.5 75 80 5 "V"
20 50 88 38 "V"
7.5 65 75 10 "V"
-11.5 83 60 -23 "H"
-8 73 66 -7 "H"
-2 84 72 -12 "V"
-15.5 69 54 -15 "H"
-2.5 86 83 -3 "V"
-8 66 69 3 "H"
-4 70 74 4 "H"
1.5 50 64 14 "V"
5.5 66 64 -2 "V"
-8.5 66 56 -10 "H"
-11 71 56 -15 "H"
-1 65 85 20 "V"
6.5 79 72 -7 "V"
-7.5 75 73 -2 "H"
4 76 74 -2 "V1"
-5 71 72 1 "H"
-2.5 73 71 -2 "H2"
-4 79 78 -1 "V"
-5 57 56 -1 "V"
-1.5 82 77 -5 "H"
-8.5 62 57 -5 "N"
-1 57 58 1 "N"
3.5 58 65 7 "V"
2 61 72 11 "H"
-3 53 60 7 "H"
4.5 50 61 11 "V"
11.5 58 71 13 "V"
-24.5 82 47 -35 "H"
8.5 61 71 10 "V"
-18 72 47 -25 "H"
4 60 68 8 "V"
2 50 35 -15 "V"
-18.5 64 53 -11 "H"
-15.5 75 50 -25 "H"
2.5 55 49 -6 "V"
-6.5 64 51 -13 "V"
-15 73 37 -36 "H"
-9.5 68 57 -11 "H"
2 42 53 11 "V"
-8.5 71 57 -14 "V"
-11 79 64 -15 "V"
-16.5 72 55 -17 "H"
-13.5 74 58 -16 "H"
-2.5 63 60 -3 "V1"
-12 62 41 -21 "V"
4.5 63 57 -6 "V"
-8.5 66 60 -6 "H"
-12.5 84 55 -29 "H"
-8 78 54 -24 "H"
-16 68 72 4 "N"
-8 61 57 -4 "H"
4.5 52 62 10 "V"
-18.5 91 59 -32 "HN"
-15.5 98 67 -31 "H"
5.5 62 75 13 "N"
-3 61 70 9 "N"
-6.5 85 78 -7 "H"
1 80 76 -4 "V"
-12 84 50 -34 "H"
6 78 61 -17 "V"
-17.5 69 64 -5 "H"
-6.5 61 69 8 "H"
-2.5 72 73 1 "H"
7.5 83 73 -10 "V"
8.5 78 99 21 "V"
7 70 75 5 "H"
-3 62 71 9 "H"
16 55 93 38 "V"
7 74 79 5 "V1"
6.5 71 79 8 "H1"
3 71 94 23 "H"
14.5 78 89 11 "V"
11 78 82 4 "V1"
-1.5 75 69 -6 "H"
13.5 66 90 24 "V"
5 69 81 12 "H"
15.5 58 79 21 "H"
4 73 83 10 "V"
19.5 57 78 21 "V"
11.5 66 81 15 "H"
3.5 57 76 19 "N"
3 74 77 3 "V"
-9 85 79 -6 "H"
7 62 77 15 "V"
-4.5 65 70 5 "V"
13.5 61 74 13 "V"
-11 79 73 -6 "H"
1 80 73 -7 "H"
18.5 68 72 4 "V"
-6.5 83 78 -5 "H"
-17.5 74 59 -15 "H"
-8 84 76 -8 "H"
-2 101 60 -41 "V"
-8.5 62 74 12 "V"
-3.5 88 89 1 "H"
-11 98 47 -51 "H"
-10.5 62 64 2 "H"
-3.5 75 63 -12 "V"
-3 83 76 -7 "V"
-10.5 88 77 -11 "H"
-13 82 74 -8 "V"
-1 59 68 9 "V"
-15 92 62 -30 "H"
4 84 74 -10 "V"
7 79 94 15 "V"
-13.5 76 75 -1 "H"
5.5 78 83 5 "V"
-5.5 79 67 -12 "V"
-7 54 56 2 "N"
3.5 68 83 15 "V"
9 79 85 6 "V"
11 70 73 3 "N"
-10.5 77 66 -11 "N"
3.5 70 74 4 "N"
5.5 76 66 -10 "V"
2.5 73 88 15 "H"
-12 74 64 -10 "H"
7.5 77 86 9 "HN"
-15.5 74 56 -18 "H"
7.5 57 67 10 "V"
7.5 63 75 12 "H"
-10 65 77 12 "H"
17 61 91 30 "V"
11.5 82 77 -5 "V"
1 83 69 -14 "H"
10 55 85 30 "V"
10 74 69 -5 "H"
1 72 78 6 "V"
4 61 56 -5 "V"
1.5 74 71 -3 "H1"
3 86 94 8 "H"
8 78 84 6 "V1"
15 56 71 15 "V"
3 64 71 7 "H"
-4.5 92 84 -8 "H1"
-1 71 54 -17 "H"
7.5 67 56 -11 "V"
-5.5 63 66 3 "H"
-2 81 66 -15 "N"
11.5 53 65 12 "N"
-7.5 62 66 4 "V1"
-5.5 84 86 2 "H1"
-11 61 59 -2 "V"
7 64 76 12 "N"
-2.5 65 69 4 "N"
-13 55 47 -8 "N"
-10 66 75 9 "H"
2 66 76 10 "V"
6 64 57 -7 "V"
3.5 58 69 11 "V"
3.5 69 58 -11 "H"
2.5 49 63 14 "H"
1.5 77 60 -17 "V"
-10 66 69 3 "H"
-5.5 58 63 5 "H1"
4 43 51 8 "V"
-2 59 48 -11 "V"
-7 55 52 -3 "V"
-7 68 57 -11 "H"
-5.5 64 66 2 "H"
5 58 54 -4 "V"
3 52 59 7 "V"
-12 66 78 12 "H"
-6 60 48 -12 "H"
-3.5 62 68 6 "H"
-12 63 54 -9 "H"
2.5 71 73 2 "V2"
3.5 71 72 1 "V"
-2.5 81 77 -4 "V"
-13 62 46 -16 "H"
-1 54 60 6 "N"
-19.5 74 55 -19 "H"
-4 75 68 -7 "N"
-21.5 88 67 -21 "H"
-4 89 71 -18 "N"
-6.5 67 58 -9 "N"
1.5 76 71 -5 "N"
-5.5 73 68 -5 "H"
-20 88 50 -38 "H"
-7.5 90 67 -23 "N"
-28 88 47 -41 "H"
-24 76 54 -22 "H"
-17.5 90 77 -13 "H"
-12.5 67 50 -17 "N"
-22.5 80 62 -18 "H"
-16 68 40 -28 "H"
-2.5 76 84 8 "V"
-15 73 57 -16 "H"
-3 63 90 27 "V"
-12.5 84 64 -20 "H"
-13.5 75 70 -5 "V"
-6 79 60 -19 "V"
-11 98 85 -13 "H"
-11.5 62 61 -1 "V"
-11 73 68 -5 "H"
-4.5 81 83 2 "V"
-12.5 88 56 -32 "V"
-16.5 89 68 -21 "H"
1 68 73 5 "V"
-7.5 79 76 -3 "H"
-19.5 85 57 -28 "H"
2 69 53 -16 "V"
-11 74 83 9 "N"
-19 73 61 -12 "N"
-5.5 66 50 -16 "N"
-2 71 61 -10 "N"
4 63 85 22 "N"
14.5 55 61 6 "V"
-7 90 88 -2 "H1"
-1.5 43 57 14 "H"
2 84 74 -10 "H"
-4 73 72 -1 "V"
15.5 45 66 21 "N"
7.5 60 56 -4 "HN"
-4.5 71 66 -5 "H"
3 79 91 12 "V"
5 74 84 10 "V"
2 75 82 7 "V"
6.5 66 74 8 "H"
9.5 66 79 13 "V"
15.5 63 90 27 "HN"
8.5 64 73 9 "H"
16 56 72 16 "V"
11.5 60 68 8 "V"
4 57 79 22 "H"
6.5 65 73 8 "HN"
17 84 83 -1 "V"
1 62 67 5 "H"
16.5 49 68 19 "V"
4.5 71 78 7 "H"
16.5 64 97 33 "V"
3 87 89 2 "H1"
14.5 55 79 24 "V"
-11.5 76 73 -3 "H"
-15.5 82 72 -10 "H"
4 62 53 -9 "V"
6 64 76 12 "V"
17 87 93 6 "V"
5.5 81 88 7 "V"
15 54 67 13 "V"
-1 88 85 -3 "H1"
-6 89 78 -11 "H"
4.5 56 77 21 "V"
5.5 91 85 -6 "V"
0 67 68 1 "H"
8.5 68 75 7 "H"
-5 79 63 -16 "V"
6.5 73 83 10 "V"
-3.5 74 61 -13 "H"
4 82 86 4 "H1"
3 72 63 -9 "V"
3.5 72 69 -3 "V"
11.5 69 88 19 "V"
-3.5 88 85 -3 "H"
-5 86 79 -7 "H"
-1 72 79 7 "VN"
-7 66 65 -1 "H"
-4.5 75 54 -21 "H"
-2.5 70 58 -12 "H"
1.5 81 58 -23 "H"
9 77 74 -3 "V"
8 54 61 7 "V"
-10.5 60 52 -8 "H"
-4 60 47 -13 "H"
24.5 48 84 36 "V"
10.5 47 44 -3 "H"
9 48 74 26 "V"
24.5 54 93 39 "V"
3 57 59 2 "H"
27 38 90 52 "V"
15 61 75 14 "V"
-4 58 60 2 "H"
8 44 46 2 "V"
1 58 52 -6 "H"
-1.5 65 58 -7 "H"
9.5 59 63 4 "V"
-5.5 42 25 -17 "H"
10 62 77 15 "V"
2 65 46 -19 "H"
7.5 52 60 8 "V"
10.5 62 70 8 "H"
3 56 50 -6 "V"
17 50 73 23 "V"
-3 54 57 3 "H"
1 53 41 -12 "V"
3.5 50 49 -1 "H1"
3 59 61 2 "V"
-2 67 78 11 "H"
-8.5 45 44 -1 "H"
2 58 47 -11 "N"
6.5 55 70 15 "N"
13.5 49 58 9 "V"
-8.5 50 56 6 "H"
-8 66 56 -10 "H"
-5.5 49 44 -5 "H"
1.5 62 50 -12 "V"
9.5 72 79 7 "V"
-7.5 94 68 -26 "H"
-4 70 82 12 "H"
10.5 67 75 8 "V"
14.5 70 87 17 "V"
-13.5 62 59 -3 "H1"
-7 85 68 -17 "H"
6 62 59 -3 "V"
3.5 71 67 -4 "H"
-1 69 83 14 "V"
3.5 62 72 10 "V"
-7.5 66 56 -10 "H"
7 62 67 5 "V"
-2 54 51 -3 "H1"
-3 61 62 1 "V"
1 70 76 6 "V"
-8 84 78 -6 "H1"
1.5 56 65 9 "V"
4.5 68 71 3 "H"
1 79 62 -17 "H"
1 70 58 -12 "V"
11.5 59 56 -3 "V"
-6 84 68 -16 "H"
-2 50 51 1 "N"
-9 84 72 -12 "H"
-5.5 86 72 -14 "H"
1 84 83 -1 "V"
-1.5 58 81 23 "V"
-6 74 56 -18 "H"
-10 66 45 -21 "HN"
-16 79 66 -13 "H"
-11 82 49 -33 "H"
-6.5 72 47 -25 "V"
-1.5 64 65 1 "V"
-10.5 61 67 6 "VN"
-19.5 78 61 -17 "HN"
-20 79 58 -21 "V"
-19.5 77 44 -33 "H"
-10.5 74 52 -22 "V"
-10 68 47 -21 "V"
-13 83 52 -31 "H"
-15.5 64 47 -17 "V"
-20.5 82 47 -35 "V"
-23.5 75 36 -39 "H"
-17.5 78 64 -14 "H"
-11 69 80 11 "V"
-28 83 58 -25 "H"
-10.5 69 52 -17 "H"
-17 83 52 -31 "V"
-5 60 63 3 "V"
-18 71 54 -17 "H"
-8.5 58 64 6 "V"
-16 64 52 -12 "H"
-19 66 40 -26 "H"
-5.5 57 61 4 "V"
-16 80 58 -22 "N"
-12 61 51 -10 "N"
-11 63 66 3 "N"
-20 79 47 -32 "N"
-8 78 64 -14 "N"
-13 62 50 -12 "N"
-3.5 59 79 20 "N"
20.5 56 80 24 "V"
6 58 78 20 "V"
4.5 66 77 11 "H"
4.5 72 65 -7 "H"
17 56 81 25 "V"
32.5 52 88 36 "V"
4.5 61 54 -7 "V"
-5.5 64 65 1 "V"
-8 61 57 -4 "H"
-2 75 70 -5 "H"
16.5 52 62 10 "V"
8 65 62 -3 "V"
-7.5 80 59 -21 "H"
-2.5 59 61 2 "H1"
6.5 62 65 3 "V"
10 38 63 25 "V"
-9 76 71 -5 "H"
11.5 56 73 17 "H"
6.5 65 84 19 "V"
8.5 71 72 1 "V"
2 84 78 -6 "H"
5.5 57 58 1 "V"
5.5 57 66 9 "V1"
-1 73 58 -15 "H"
-1 77 60 -17 "H"
-2 79 81 2 "N1"
14 70 84 14 "V"
7 80 61 -19 "H"
4.5 68 79 11 "H"
27 55 79 24 "V"
8.5 63 76 13 "V"
16.5 52 69 17 "V"
-3.5 75 70 -5 "H"
10 66 64 -2 "V"
5 76 88 12 "V"
-3 70 64 -6 "H"
-9 61 55 -6 "H"
2 80 75 -5 "V"
5.5 58 60 2 "V"
8.5 64 66 2 "H"
-10.5 76 73 -3 "H"
-6.5 84 65 -19 "H"
1.5 67 77 10 "V"
1 61 69 8 "V"
-2.5 87 82 -5 "H"
-4.5 65 52 -13 "H"
-6.5 67 58 -9 "V"
1 60 77 17 "V"
-1 69 54 -15 "N"
13 61 57 -4 "N"
2.5 63 65 2 "N"
-13 71 76 5 "H"
-13 95 68 -27 "H"
2 88 70 -18 "N"
1.5 73 66 -7 "N"
-3 68 77 9 "H"
6.5 47 72 25 "H"
-18.5 91 59 -32 "H"
-25 63 48 -15 "H"
1 79 76 -3 "VN"
-11 82 63 -19 "HN"
-4 72 78 6 "V"
3 71 66 -5 "V"
6.5 65 62 -3 "V"
-3.5 72 77 5 "H"
5.5 36 56 20 "V"
-5 60 57 -3 "H"
9.5 47 71 24 "V"
-3 73 71 -2 "H"
6 60 79 19 "H"
2.5 56 54 -2 "V"
-2.5 46 71 25 "V"
5.5 68 74 6 "H"
-6 69 66 -3 "H"
8 66 84 18 "V"
-2 70 80 10 "V"
-5.5 76 62 -14 "H"
12 58 79 21 "V"
3.5 53 51 -2 "H"
3.5 71 67 -4 "H"
-1.5 73 69 -4 "N"
8.5 62 83 21 "N"
-3.5 66 71 5 "H"
2 76 86 10 "V"
21.5 51 86 35 "V"
7 58 74 16 "N"
5 70 68 -2 "N"
10.5 71 74 3 "N"
7 58 65 7 "H"
14.5 64 73 9 "V"
14 47 58 11 "V"
9.5 63 60 -3 "N"
16 73 88 15 "V"
-6 81 75 -6 "H"
13.5 48 73 25 "V"
20 68 95 27 "V"
-2 82 75 -7 "H"
4.5 73 77 4 "H"
13 68 74 6 "V"
16 51 96 45 "V"
2.5 66 63 -3 "H"
9.5 62 66 4 "H"
25.5 65 81 16 "V"
13.5 73 90 17 "H"
18.5 53 89 36 "V"
15.5 66 79 13 "V"
11.5 63 68 5 "H"
12 60 68 8 "V"
6.5 55 72 17 "H"
14.5 56 82 26 "V"
11.5 55 74 19 "H"
14 76 72 -4 "V"
13 53 55 2 "V"
-8.5 39 30 -9 "V"
-4 66 61 -5 "H"
1.5 76 67 -9 "V"
-5 61 69 8 "H"
5.5 54 57 3 "V"
4.5 64 59 -5 "V"
7 50 59 9 "V"
1.5 43 50 7 "H"
-6 51 58 7 "H"
14 78 91 13 "V"
7.5 62 65 3 "H"
16 45 72 27 "V"
3.5 49 36 -13 "H"
-2.5 61 68 7 "H"
11 67 74 7 "V"
7 63 74 11 "H"
8 50 62 12 "V"
8.5 64 55 -9 "H"
14.5 53 75 22 "V"
7 48 54 6 "H"
11 51 55 4 "V1"
7 69 64 -5 "V1"
1.5 63 72 9 "H"
15 67 74 7 "V"
-1.5 56 41 -15 "H"
14.5 61 52 -9 "V"
10 61 67 6 "N"
1 63 59 -4 "H"
1 52 49 -3 "N"
8 69 70 1 "N"
-4.5 74 58 -16 "N"
-4 55 52 -3 "V"
5.5 62 69 7 "N"
-2.5 77 82 5 "H1"
3 67 64 -3 "VN"
4.5 57 61 4 "V"
-7.5 74 84 10 "H"
-3 73 66 -7 "V"
-11 71 46 -25 "H"
-7 74 82 8 "V"
-7.5 68 57 -11 "H"
-16 57 46 -11 "H"
-2 77 67 -10 "V"
1.5 51 71 20 "V"
-5 54 58 4 "H"
2 74 63 -11 "V"
-6 85 74 -11 "V"
-6.5 72 79 7 "H"
3.5 68 62 -6 "V"
-7.5 60 78 18 "H"
-6.5 79 50 -29 "V"
-8.5 60 58 -2 "H"
-6.5 81 85 4 "H1"
1.5 77 82 5 "V"
1 60 54 -6 "N"
-2 67 69 2 "N"
3.5 78 77 -1 "V"
-7 88 84 -4 "H1"
-5 62 52 -10 "H"
7.5 73 81 8 "V"
-1 73 66 -7 "H"
-1.5 77 80 3 "H"
-5 73 80 7 "H"
16.5 48 65 17 "V"
-8 80 56 -24 "H"
1.5 54 53 -1 "V"
-1.5 67 55 -12 "HN"
6.5 68 72 4 "V"
7.5 62 65 3 "H"
8 65 68 3 "V"
4.5 41 52 11 "V"
-3 78 59 -19 "H"
5 56 71 15 "V"
4.5 53 55 2 "H"
6.5 79 76 -3 "V"
1 66 65 -1 "V"
-3 82 54 -28 "H"
2 71 80 9 "H"
-4 79 57 -22 "V"
3 56 59 3 "H"
13 57 84 27 "V"
-12 68 60 -8 "H"
5 59 71 12 "V"
5.5 64 73 9 "V"
5 58 66 8 "H"
9 70 84 14 "V"
-2 81 80 -1 "H1"
3.5 72 77 5 "N"
-14.5 61 55 -6 "H"
6.5 78 70 -8 "N"
9 72 82 10 "N1"
-7.5 37 36 -1 "H"
-6.5 64 41 -23 "N"
-18.5 46 40 -6 "H"
-17.5 81 68 -13 "H"
3 48 49 1 "V"
-1 45 73 28 "H"
-1 67 51 -16 "V"
-7.5 74 65 -9 "H"
-3.5 58 61 3 "V"
5.5 63 47 -16 "V"
5 53 51 -2 "H"
-8 74 52 -22 "H"
-8 68 56 -12 "H"
-5 69 63 -6 "V"
-4.5 63 55 -8 "H"
4 62 55 -7 "V"
-13.5 90 66 -24 "H"
7.5 57 46 -11 "V"
-1.5 79 78 -1 "V2"
-13.5 64 51 -13 "H"
-1 57 67 10 "V"
-1.5 61 39 -22 "H"
-4.5 62 43 -19 "N"
-1.5 55 58 3 "N1"
-13.5 68 78 10 "N"
-8 56 68 12 "H"
-3.5 60 62 2 "H1"
21 53 66 13 "N"
12 56 60 4 "N"
3.5 53 64 11 "V"
6.5 54 62 8 "V"
-3 78 81 3 "H1"
-3 64 56 -8 "H"
-4.5 52 41 -11 "H"
19.5 44 77 33 "V"
-7.5 61 72 11 "H"
13 62 79 17 "V"
-2 67 58 -9 "H"
15.5 47 64 17 "H"
8 59 52 -7 "V"
-4.5 57 49 -8 "H"
3.5 67 56 -11 "V"
7 68 62 -6 "V"
-2.5 52 46 -6 "H"
1.5 45 52 7 "H"
11 74 84 10 "V1"
10.5 60 62 2 "V"
-7.5 62 54 -8 "H1"
5.5 62 63 1 "V"
1.5 78 68 -10 "H"
2.5 72 62 -10 "H"
7.5 58 61 3 "V"
-1.5 63 68 5 "N"
19.5 55 74 19 "V"
14.5 62 80 18 "V"
-9 62 49 -13 "H"
-3.5 59 57 -2 "H"
-4 75 73 -2 "H"
-4 53 62 9 "H"
-1 68 86 18 "H"
-4 56 57 1 "V"
3.5 67 69 2 "H"
6 60 65 5 "V"
-2 64 68 4 "V1"
-1.5 60 77 17 "H"
-2 68 52 -16 "H"
-4.5 50 52 2 "V"
2.5 83 86 3 "H"
-5 74 58 -16 "H"
3.5 69 54 -15 "V"
5 71 69 -2 "V"
-7.5 81 63 -18 "H"
7 57 68 11 "V"
8 78 73 -5 "V"
-8 83 63 -20 "H"
-4 72 76 4 "V"
-4.5 82 90 8 "H1"
-10.5 61 43 -18 "H"
7.5 78 60 -18 "V"
-1 63 75 12 "V"
3 66 62 -4 "V"
-4.5 84 90 6 "H1"
-5.5 79 61 -18 "H"
-11 54 36 -18 "N"
4.5 57 68 11 "N"
4.5 65 56 -9 "N"
10 62 75 13 "V"
-6.5 62 54 -8 "H"
-14.5 73 66 -7 "H"
-22.5 73 41 -32 "H"
-13.5 73 48 -25 "H"
-17 74 58 -16 "H"
2 49 62 13 "H"
9.5 70 83 13 "V"
-10 65 70 5 "H1"
15 57 73 16 "V"
10.5 63 79 16 "V"
-6.5 82 62 -20 "H"
6 60 63 3 "V"
2.5 66 60 -6 "H"
-2.5 54 56 2 "H"
-1 64 54 -10 "V"
-4 53 56 3 "H"
2.5 57 56 -1 "V"
3.5 58 70 12 "H"
9.5 54 82 28 "V"
-1 78 68 -10 "H"
3.5 57 70 13 "H"
13 71 69 -2 "V"
4.5 72 74 2 "V"
-1.5 64 84 20 "N"
-22.5 103 65 -38 "H"
-10.5 84 50 -34 "H"
-31 96 58 -38 "H"
-11.5 57 49 -8 "N"
-9 72 47 -25 "N"
-8.5 81 67 -14 "N"
-20.5 85 67 -18 "H"
-11.5 71 69 -2 "V"
-11.5 74 85 11 "H"
-9.5 68 52 -16 "HN"
-9.5 94 87 -7 "H"
2.5 69 68 -1 "V"
-16 78 62 -16 "V"
-5.5 81 74 -7 "V"
-9.5 83 78 -5 "H"
-15.5 71 49 -22 "V"
-2.5 63 64 1 "V"
-10 83 63 -20 "H"
-20 66 52 -14 "H"
-15.5 88 43 -45 "V"
-14.5 65 63 -2 "V"
-22.5 82 56 -26 "H"
-24 74 55 -19 "H"
1.5 77 60 -17 "V"
-12 71 61 -10 "V"
-13 85 42 -43 "H"
-22 81 50 -31 "H"
-5.5 70 65 -5 "V"
-26 81 52 -29 "H"
-21 66 48 -18 "N"
-6.5 65 51 -14 "N"
-22.5 64 58 -6 "N"
-6.5 70 76 6 "N"
9.5 64 67 3 "V"
-7.5 79 45 -34 "H"
9 56 75 19 "V"
-6 78 85 7 "H"
-14.5 73 64 -9 "H"
4 79 63 -16 "V"
9.5 49 57 8 "V"
-9.5 72 65 -7 "H"
11 67 62 -5 "V"
12 69 70 1 "V"
-16 92 62 -30 "H"
-10.5 75 65 -10 "V"
11 50 60 10 "V"
-16 82 77 -5 "H1"
-10.5 67 64 -3 "H"
-11.5 89 82 -7 "H2"
-4.5 67 65 -2 "V"
1.5 63 78 15 "V"
-11 73 54 -19 "H"
-1.5 69 57 -12 "H"
-6 65 47 -18 "V"
-2 72 66 -6 "V"
5.5 53 58 5 "V"
-6.5 72 75 3 "V"
-7.5 56 51 -5 "H"
-13.5 65 56 -9 "H"
10.5 68 62 -6 "N"
10.5 51 74 23 "N"
-13 73 60 -13 "H"
8.5 77 78 1 "H1"
-10 71 66 -5 "H"
21.5 63 77 14 "V"
-7 56 63 7 "H"
10.5 58 73 15 "H"
-10.5 84 61 -23 "H"
8 66 81 15 "H"
-4.5 74 71 -3 "H"
-2.5 90 88 -2 "H"
-11.5 76 61 -15 "H"
7 64 68 4 "V"
7 72 76 4 "V"
-1.5 60 52 -8 "H"
-7 82 93 11 "H"
6.5 59 88 29 "V"
4 78 73 -5 "V"
-1 72 68 -4 "V"
6.5 77 75 -2 "V"
-1.5 94 73 -21 "H"
-4.5 78 72 -6 "H"
2 65 89 24 "V"
8.5 71 80 9 "V"
-12 84 50 -34 "H"
-8 70 66 -4 "H"
-3.5 61 64 3 "H"
3 75 88 13 "V"
4 60 71 11 "N"
-2 65 69 4 "H"
17 54 83 29 "V"
11 66 63 -3 "H"
7.5 103 100 -3 "H2"
7 56 67 11 "V"
8 56 80 24 "V"
10 47 73 26 "H"
5 57 63 6 "H"
9.5 62 83 21 "HN"
8 57 61 4 "V"
4.5 52 50 -2 "H"
15.5 54 69 15 "V"
3.5 70 59 -11 "H"
14 60 65 5 "V"
16 46 57 11 "V"
7 52 55 3 "H"
-3 51 57 6 "H"
9.5 41 62 21 "V"
7.5 59 72 13 "V"
7 57 62 5 "H"
5.5 65 56 -9 "V"
10.5 43 61 18 "V"
3 50 57 7 "H"
12 54 63 9 "V"
6.5 50 79 29 "H"
2.5 70 59 -11 "H"
5 56 57 1 "H"
10.5 64 67 3 "V"
8.5 57 62 5 "N"
-1 77 75 -2 "V"
4 59 70 11 "H"
4 54 48 -6 "V"
-3.5 85 63 -22 "H"
-3 78 67 -11 "H"
11 54 73 19 "V"
6 78 89 11 "V"
2 75 79 4 "H1"
-4.5 72 87 15 "H"
-2.5 66 61 -5 "H"
-5 69 79 10 "V"
7 84 80 -4 "V1"
1 85 88 3 "H"
3 79 61 -18 "H"
5 92 101 9 "V3"
19 74 81 7 "V"
10 53 63 10 "V"
-3.5 103 76 -27 "H"
-12.5 84 62 -22 "H"
6.5 96 94 -2 "V"
-10.5 72 67 -5 "N"
6.5 69 80 11 "N"
3 73 72 -1 "H"
7 84 88 4 "V1"
-9.5 70 80 10 "H"
-2 63 66 3 "H"
-2 72 62 -10 "H"
16 58 73 15 "V"
7 55 64 9 "V"
-7.5 73 66 -7 "H"
-2.5 81 79 -2 "V1"
7.5 60 64 4 "V"
13 68 78 10 "V"
-1.5 71 64 -7 "V"
3 64 55 -9 "V"
8 75 82 7 "V1"
-2.5 49 55 6 "H"
-1.5 70 71 1 "H"
9 66 72 6 "V"
3 77 64 -13 "V"
-12.5 73 78 5 "H"
-9.5 74 70 -4 "H"
-5 67 77 10 "H"
-9.5 66 63 -3 "H"
10.5 74 76 2 "V"
13.5 58 74 16 "V"
-3.5 68 71 3 "H"
4 61 67 6 "H"
-4.5 75 69 -6 "V"
-1 56 74 18 "V"
-2.5 90 81 -9 "V"
-6.5 76 72 -4 "H"
6.5 49 65 16 "N"
-8.5 78 77 -1 "V1"
2.5 94 64 -30 "N"
-14 84 61 -23 "VN"
-2.5 78 61 -17 "N"
-17.5 63 62 -1 "H"
-10 75 62 -13 "H"
-18 72 64 -8 "H"
11.5 85 74 -11 "V"
-14.5 66 53 -13 "H"
2 73 82 9 "N"
-13 81 79 -2 "HN"
-3 61 68 7 "V"
3 74 55 -19 "H"
2 67 84 17 "H"
6 51 74 23 "V"
-10.5 54 68 14 "H"
-5 71 51 -20 "V"
6 60 74 14 "H"
8.5 75 80 5 "V"
2 68 74 6 "H"
7 74 72 -2 "H"
9.5 57 53 -4 "V"
-8 79 59 -20 "H"
-3 62 41 -21 "V"
-15 64 59 -5 "H"
9.5 58 71 13 "V"
-13.5 72 65 -7 "H"
4.5 55 63 8 "V"
9.5 55 68 13 "V"
2.5 51 49 -2 "N"
10 64 80 16 "N"
-1 57 49 -8 "N"
8 59 63 4 "N"
-10.5 59 52 -7 "H"
10.5 59 66 7 "N"
6 62 36 -26 "N"
7.5 86 81 -5 "N"
-4.5 56 45 -11 "H"
-6 58 46 -12 "V"
11 50 44 -6 "V"
1.5 64 55 -9 "H"
-9 74 48 -26 "H"
2 54 70 16 "V"
-3 70 82 12 "V"
2.5 55 74 19 "V"
-3.5 65 60 -5 "H"
-2.5 50 60 10 "V"
3.5 70 75 5 "H"
7 47 53 6 "V"
-1.5 61 59 -2 "H"
11 47 98 51 "V"
-9 60 50 -10 "H"
8 55 49 -6 "V"
1.5 60 57 -3 "H"
-7.5 66 77 11 "H"
12 61 86 25 "V"
7 88 83 -5 "V3"
4 60 69 9 "V"
-3.5 53 64 11 "V"
-1 62 63 1 "H"
-1 60 55 -5 "H"
